ProductID,CustomerID,CustomerName,Rating,Comment
76014598,745,Phan Anh Vũ,5,
76013378,2191,Tran Nam Viet,5,Sách đẹp
52785564,2204,Ms Thuý,5,
76013378,2212,Nguyễn Trần  Trung,5,
249876840,2232,Nguyễn Tường Minh,5,
273383957,2415,đinh văn phong,4,
140416370,2415,đinh văn phong,4,
196150482,2415,đinh văn phong,4,
145288029,2415,đinh văn phong,4,
178294073,3720,Kate Lo,5,Sách hay bổ ích cho bất cứ ai mới bắt đầu học trở thành nhà giao dịch
74021317,4947,Trân Tạ,5,trầm lặng. tuổi thơ xúc động
72308265,4947,Trân Tạ,4,"giao nhanh, bìa đẹp, nội dung trầm lắng quá. 1 tuần hơn mới thoát ra được"
274363543,4952,Lê Hưng,5,
263070154,4952,Lê Hưng,5,
76013378,5625,Duy Phạm,5,
113530805,6435,Phạm Nguyễn Phương Nguyên,5,
66067655,6672,Nguyễn Trường Duy,4,
273819808,6684,Nguyen Thuy,5,
48629535,6754,tran hoang vinh chuong,5,
74021317,8071,Nguyễn Ngọc Quỳnh Như,5,"Sách đẹp, tiki đóng gói cẩn thận, có lớp chống sốc, giao hàng siêu nhanh, vote 5 sao :"">"
114937969,8071,Nguyễn Ngọc Quỳnh Như,5,"Bìa xinh, giấy đẹp, nội dung hay..Tiki dạo này chu đáo ghê, có lót thêm lớp giấy chống sốc nữa, giao hàng cực nhanh, 10 điểm ^^"
72308265,8651,Đào Xuân Trường,5,
276388548,9165,Châu Hồ Quốc  Bảo,5,
275406600,9165,Châu Hồ Quốc  Bảo,5,
77774625,9165,Châu Hồ Quốc  Bảo,5,
273844986,9165,Châu Hồ Quốc  Bảo,5,
74021317,11544,Hoang Mai,4,
171556602,11663,anh  khoa,5,"đóng gói kỹ càng, giao đúng hạn, sản phẩm chất lượng, giá cả phù hợp, rất phù hợp với nhu cầu sử dụng 👍"
176909221,11878,Tô Nhung,5,
74021317,12150,Kim Pham,5,
72308265,12150,Kim Pham,5,
52788072,12548,HOA PHƯỢNG,5,Đẹp
76013378,13116,Nguyễn Thị  Uyên Minh,5,"Sách hay. Nội dung cần cho các bạn quan tâm về Data
Sách giao lâu. hộp rách mốp. May mà sách ko sao"
163703151,13408,HUYNH HOANG SANG,5,
72308265,15845,Quang Tran,5,
273383957,15845,Quang Tran,5,
75813201,15845,Trần Vinh Quang,5,
52329763,15845,Trần Vinh Quang,5,
168283405,15845,Trần Vinh Quang,5,
72308265,17277,mai  phuong mai,5,
273383957,19051,Nguyễn Thành Trung,5,Tiki giao hàng nhanh và đóng gói cẩn thận.
140416370,19051,Nguyễn Thành Trung,5,Sách được bọc trong bao nên tránh bị lấm bẩn. Tiki đóng gói cẩn thận nên không bị cấn gãy góc. Giao hàng nhanh
72308265,19051,Nguyễn Thành Trung,5,
78598381,19252,Nguyễn Vy,5,
53452969,19311,Lý Bảo Phương,5,
276313958,19433,Cao Hạnh Quyên,5,
53720978,19616,Tạ Thị Thanh Bình,5,
74021317,19735,Mach Yani,5,
54614797,19735,Mach Yani,5,
53720978,19915,Bùi Quỳnh Trang,5,
171556602,20557,Bùi Yến,5,
74021317,21101,Tâm Lương,5,"Giao hàng cực nhanh, vừa đọc sách vừa ăn cam ngọt thì rất hợp"
273819808,21101,Google One,5,Hay tuyệt vời
273844986,21714,Trần Ngọc,5,
145977548,21905,Nguyen Thuan Duc,5,
74021317,21905,Nguyen Thuan Duc,5,
78598381,23742,Nguyễn Thanh Nguyên,5,
48629535,23847,HOÀI AN,5,
145288029,25132,Nguyen Orkid,5,
3304875,25184,huỳnh  ngọc thy lam,5,
72308265,25379,Nguyễn Ngọc Trinh,5,
220665663,25654,Nguyễn Phương Anh,5,
184466860,25984,đặng thị vân anh,4,
3304875,26585,Nguyễn Ánh,5,Sách đẹp. Hộp lúc nhận móp nhiều nhưng may là không ảnh hưởng bên trong
50414368,28181,Lữ Phạm Quốc An,5,"Sách của tác giả này thì quá hay. Tiki giao nhanh, đóng gói kỹ"
184466860,28181,Lữ Phạm Quốc An,5,
74021317,28181,Lữ Phạm Quốc An,5,
50414368,28514,Lê Thu Thủy,5,
273534078,28514,Lê Thu Thủy,5,
184466860,29246,Phạm Ngọc Dũng,5,
136340700,29818,Hoàng Quang Hiển,5,
52788072,30317,Trần Thanh Tùng,5,"Sách hay, giao nhanh mà lại được bọc cẩn thận. Cộng thêm minh hội viên TikiNow nên được freeship nữa."
174842858,31149,Nguyễn Thái Huy,5,
