,ProductID,CustomerID,Rating,Comment,Label,Comment Cleaned
0,74021317,7991785,5,Một quyển sách hay,pos,quyển_sách hay
1,187827003,18150739,5,"Mình đã từng đọc sơ nội dung sách, rất hay, rất đáng để nghiền ngẫm. _x000D_
Tiki đóng gói oki, sách không bị nhăn hay rách, góc sách còn nguyên vẹn. Có điều giao hàng nhanh quá mình hơi sốc, còn lại đều ổn! 🥰",pos,đọc sơ nội_dung sách rất_hay đáng nghiền_ngẫm tiki đóng_gói ổn sách không nhăn hay rách góc sách nguyên_vẹn giao_hàng_nhanh hơi sốc ổn
2,271380890,497788,5,"Quyển sách đẹp về hình thức, nội dung mới đọc đã thấy tò mò, hấp dân. Cám ơn Tác giả đã mang đến một quyển sách này.",pos,quyển_sách đẹp hình_thức nội_dung mới đọc tò_mò hấp dân cám_ơn tác_giả quyển_sách
3,74021317,19165924,5,"Sách đẹp, hài lòng",pos,sách đẹp hài_lòng
4,105483727,10170816,5,"sách đóng gói cẩn thận, giao hành nhanh",pos,sách đóng_gói cẩn_thận giao_hàng nhanh
5,189643105,27115159,5,Ok sách đẹp,pos,ổn sách đẹp
6,120219394,10327781,5,Sách in chất lượng tốt. Vận chuyển nhanh.,pos,sách in chất_lượng tốt vận_chuyển nhanh
7,104741661,8203625,5,"Giao hàng nhanh, sách được đóng gói cẩn thận, nội dung sách thì mình có đọc qua trên mạng thấy hay nên mới quyết định mua",pos,giao_hàng_nhanh sách đóng_gói cẩn_thận nội_dung sách đọc mạng hay mới quyết_định mua
8,74021317,9755694,5,Ô kê con dê giao nhanh chóng mặt tiki là nhất tiki là số 1 về giao hàng,pos,dê giao_nhanh chóng_mặt tiki tiki 1 giao_hàng
9,74021317,14003265,5,Mê luôn! Brazil không chỉ có những ngôi sao bóng đá mà còn có cả ngôi sao cầm bút,pos,mê brazil ngôi_sao bóng_đá ngôi_sao cầm bút
10,271380890,9157250,5,Hộp hơi xấu xí nhưng may mắn là ruột (sách) vẫn an toàn !,pos,hộp hơi xấu_xí may_mắn ruột sách an_toàn
11,162205263,21480957,5,"đóng gói cẩn thận, sách đẹp, in sáng rõ, giá combo 2 cuốn siêu rẻ :3",pos,đóng_gói cẩn_thận sách đẹp in giá combo 2 rẻ 3
12,157240665,22901826,5,ổn,pos,ổn
13,102629318,23408244,5,"Sách mới giấy bên trong là giấy bóng cực đẹp, mỗi ngày đọc 1 bức thư thì còn gì bằng",pos,sách_mới giấy giấy_bóng cực đẹp đọc 1 thư
14,52584834,307697,5,"Hàng giao nhanh như tên lửa, đóng gói cẩn thận",pos,hàng giao_nhanh tên_lửa đóng_gói cẩn_thận
15,271380890,365076,5,Sản phẩm được gói cẩn thận,pos,sản_phẩm gói cẩn_thận
16,74021317,7620308,5,"sách mỏng nhẹ, mình khá là thích nội dung cuốn sách, rất nhẹ nhàng 
tiki gói hàng cẩn thận, mình cảm thấy hài lòng",pos,sách mỏng nhẹ thích nội_dung sách nhẹ_nhàng tiki gói hàng cẩn_thận hài_lòng
17,140360874,17003581,5,"Sách rất hay, rất bổ ích cho các bạn muốn trở thành nhà bán hàng giỏi nhé 😊😊😊",pos,sách rất_hay bổ_ích hàng giỏi
18,74021317,11037306,5,"Sản phẩm chất lượng như mong đợi. Giao hàng nhanh, đóng gói kĩ càng nhưng hi vọng lần tới có bọc chống xóc.",pos,sản_phẩm chất_lượng mong_đợi giao_hàng_nhanh đóng_gói kĩ_càng hi_vọng bọc chống xóc
19,189643105,29033278,5,"Sách mới, gói cẩn thận, đáng giá mua",pos,sách_mới gói cẩn_thận đáng_giá mua
20,157240665,28720522,5,"Mình mua hôm sale 3.3, quyển Đảo Mộng Mơ giá 76k, Ra Bờ Suối Ngắm Hoa Kèn Hồng 112k, quá là rẻ đẹp luôn, em trai mình có tất cả quyển bìa mềm của bác rồi nên mình đọc ké, còn bìa cứng này mình mua để kỷ niệm thôi hehe TIKI giao hàng siêu nhanh luôn ạ",pos,mua hôm sale 33 quyển đảo mộng_mơ giá 76k bờ suối ngắm hoa kèn hồng 112k rẻ đẹp em_trai quyển bìa mềm đọc ké bìa_cứng mua kỷ_niệm hehe tiki giao_hàng nhanh
21,145288029,10959966,5,Sách dày hơn mình nghĩ. Giao hàng nhanh. Rất đáng tiền,pos,sách_dày giao_hàng_nhanh đáng_tiền
22,54614797,21141637,5,"sách là mẩu chuyện ngắn, ko phải các câu chuyện có liên quan đến nhau",pos,sách mẩu ngắn câu_chuyện
23,140416370,214227,5,Tốt,pos,tốt
24,168283405,415114,5,Ok,pos,ổn
25,114937969,22698630,5,nhìn sách đẹp rất tạo cảm hứng đọc,pos,sách đẹp cảm_hứng đọc
26,3304875,13603174,5,"Sách mới cứng, đc bọc cẩn thận. Giao hàng nhanh lắm ạ. Mua làm quà tặng rất ưng ạ. Tiki lại 1 lần nữa k làm mình thất vọng",pos,sách_mới cứng bọc cẩn_thận giao_hàng_nhanh mua làm_quà tặng ưng tiki 1 không thất_vọng
