,ProductID,CustomerID,Rating,Comment
0,192733741,27497576,3,"không có bọc kín,buồn. Góc trên bìa sách bị thiếu nhìn xấu quá. Chưa đọc nhưng có biết sơ về điện ảnh nên mua về xem thử."
1,192733741,22009546,4,"Giao hàng nhanh chóng, buổi tối đặt và trưa hôm sau đã có. Sách được đóng gói cẩn thận, gọn gàng. Rất vừa ý"
2,187827390,28134396,4,"Đóng gói cẩn thận, hợp lý nhưng giao hàng lâu."
3,187827390,28073417,4,"Hay, ý nghĩa, nhưng đóng gói hàng ko quá miếng chống sốc nào làm bìa cong hết"
4,187827390,20604776,3,"bị ướt một góc nhỏ, hơi đau 1 tí ;-;"
5,187827390,27858892,4,Đc cái bìa đẹp nd khá bt
6,187827390,26873578,3,Hàng kiểu in lại ýyy :))))
7,187827390,15076836,1,sách bị ẩm ướt cong gợn sóng
8,181699672,1526189,4,"Một cuốn sách được viết rất đẹp, kể về không chỉ thân phận một cậu bé *** mà còn là nỗi buồn của việc làm người."
9,181122317,7652521,4,Sách hay và bổ ích
10,181122317,5112793,4,Sách đẹp
11,173364636,16507373,4,"Gói hàng kĩ, nhưng cuốn của mình bị vạch 1 đường dài ngay bìa nhìn rất khó chịu. Mong tiki kiểm tra hàng trước khi giao. Lần này tiki tiến bộ hơn trong việc gói hàng vì bọc nhiều lớp chống sốc. _x000D_
-Về nội dung: Thật sự là mình đã quyết định mua cuốn này khi nghe ost của bộ phim cùng tên, bài hát khiến mình buồn và day dứt thật sự. Và kết quả là nội dung sách không làm mình thất vọng, miêu tả vô cùng chân thật cái sự khắc nhiệt những định kiến về LGBT ở Đài Loan thời bấy giờ. Cảm xúc của 2 nhân vật chính Gia Hán và Birdy cũng được khai thác một cách sâu sắc. Và thứ khiến cho mình suy nghĩ nhiều nhất là cái kết mở, không biết rằng Gia Hán và Birdy có đến được với nhau hay không, hay là cả 2 đã bỏ lỡ nhau suốt phần đời còn lại._x000D_
*bookmark cũng vô cùng cứng cáp nha"
12,173364636,11420552,4,"Bị df bìa ngoài, đóng gói quen thuộc của tiki... vứt sách vô trong hộp và không thêm bất cứ gì. Đã vậy cuốn này còn không có seal nữa hic. Tuy nhiên về chất lượng in ấn và font chữ mình đánh giá cao nha."
