ProductID,CustomerID,Rating,Comment,Label
192733741,22009546,4,"Giao hàng nhanh chóng, buổi tối đặt và trưa hôm sau đã có. Sách được đóng gói cẩn thận, gọn gàng. Rất vừa ý",pos
192733741,8218285,4,,neu
192733741,18211486,4,,neu
187827390,28134396,4,"Đóng gói cẩn thận, hợp lý nhưng giao hàng lâu.",pos
187827390,28073417,4,"Hay, ý nghĩa, nhưng đóng gói hàng ko quá miếng chống sốc nào làm bìa cong hết",pos
187827390,27858892,4,Đc cái bìa đẹp nd khá bt,neu
187827390,13115310,4,,neu
187827390,27353892,4,,neu
187827390,28159770,4,,neu
187827390,27823491,4,,neu
187827390,19235156,4,,neu
181699672,1526189,4,"Một cuốn sách được viết rất đẹp, kể về không chỉ thân phận một cậu bé *** mà còn là nỗi buồn của việc làm người.",pos
181699672,12562410,4,,neu
181699672,25854756,4,,neu
181699672,806469,4,,neu
181122317,29325778,4,,neu
181122317,7652521,4,Sách hay và bổ ích,pos
181122317,20822833,4,,neu
181122317,5112793,4,Sách đẹp,pos
173364636,16507373,4,"Gói hàng kĩ, nhưng cuốn của mình bị vạch 1 đường dài ngay bìa nhìn rất khó chịu. Mong tiki kiểm tra hàng trước khi giao. Lần này tiki tiến bộ hơn trong việc gói hàng vì bọc nhiều lớp chống sốc. _x000D_
-Về nội dung: Thật sự là mình đã quyết định mua cuốn này khi nghe ost của bộ phim cùng tên, bài hát khiến mình buồn và day dứt thật sự. Và kết quả là nội dung sách không làm mình thất vọng, miêu tả vô cùng chân thật cái sự khắc nhiệt những định kiến về LGBT ở Đài Loan thời bấy giờ. Cảm xúc của 2 nhân vật chính Gia Hán và Birdy cũng được khai thác một cách sâu sắc. Và thứ khiến cho mình suy nghĩ nhiều nhất là cái kết mở, không biết rằng Gia Hán và Birdy có đến được với nhau hay không, hay là cả 2 đã bỏ lỡ nhau suốt phần đời còn lại._x000D_
*bookmark cũng vô cùng cứng cáp nha",pos
173364636,11420552,4,"Bị df bìa ngoài, đóng gói quen thuộc của tiki... vứt sách vô trong hộp và không thêm bất cứ gì. Đã vậy cuốn này còn không có seal nữa hic. Tuy nhiên về chất lượng in ấn và font chữ mình đánh giá cao nha.",neu
173364636,27275373,4,"tiki giao k có bọc chống sốc, sách bị móp và cắt giấy k đều :D bìa có chỗ bị tróc, giao hàng nhanh nhma nchung là :D….",pos
173364636,27231387,4,Giá cả hợp lí,neu
173364636,27167251,4,"Sách đẹp, tuy nhiên bị df một số chỗ, nhưng ko đáng kể, chấp nhận đc🤍",neu
173364636,27218006,4,"tưởng giảm tiền freeship ai mà có ngờ đâu vẫn y vậy, may mà không df",neg
173364636,24779419,4,Nghĩ sao mà không có bọc chống sốc!!! Poster thì không có ống đựng nước vậy ạ !! Poster đi gấp thành tư là sao !! Làm việc gì mà kì cục vậy Tiki,neg
