ProductID,CustomerID,Rating,Comment,Label
187827390,15076836,1,sách bị ẩm ướt cong gợn sóng,neg
173364636,27126522,1,"gói hàng kì cục ,sao lại gấp poster làm bốn,rõ làm biến",neg
173364636,13347298,1,Giao poster mà gập lại như vậy là hỏng hết pt rồi ạ,neg
173364636,17524888,1,Giao sách gập póter hư cả,neg
173364636,98262,1,"(*) Đánh giá không tính điểm
Mình đặt mua bản đặc biệt vì thích quà của sản phẩm nhưng nhận hàng lại ko có quà đi kèm. Nhờ giao bù quà thì mấy hôm mới được phản hồi là hết quà @@ trong khi mình vẫn phải trả tiền cho bản đặc biệt. Yêu cầu tiki hỗ trợ cho mình trả hàng hoàn tiền giúp mình sớm với ạ.",neu
165030729,1529510,1,"Đối với ý kiến cá nhân mình, thì đây là quyển truyện có nội dung không hay, cốt truyện loanh quanh, luẩn quẩn, rối rắm._x000D_
Với vai trò là người mẹ mình tuyệt đối không muốn con mình đọc những quyển truyện có nội dung như thế này. Tác giả đưa quá nhiều hình ảnh người tự tử và người giới tính thứ 3 vào truyện.",neg
153518828,7246116,1,"Sách giao cho mình bị nhăn bìa, và nhăn  một vài trang, thật sự rất là không vui!",neg
153518828,22512561,1,Được lắm ạ! Cám ơn nnt ca mau,pos
148802194,14404873,1,"Cực kỳ thích bộ này thấy trên tiki thì đặt ngay 
Và kết quả muốn xĩu ngang
 t là người cực kỳ lười đánh giá nhưng mà cũng phải lên viết một cái :)) 
ĐIỂM CỘNG:
-  giao nhanh, phí rẻ
ĐIỂM TRỪ:
- Gáy xấu
- không chống sống
- rách mẹ cái gáy 🤡",neg
148802194,14530577,1,"chưa bao giờ mua sách mà thất vọng như vậy. đóng gói sách mà như gói quần áo, nhăn nhúm các góc. tại sao k bọc giấy chống xốc lại để k nhăn, móp méo như vậy. thật thất vọng",neg
148802194,25705617,1,Sách mình vừa khui đã thấy trang sách bị gập lại thế này :(( Hi vọng Tiki sẽ xử lí tình trạng đơn hàng giúp mình,neg
148802194,12938861,1,"Sách mà cong hết lên, tróc cả góc sách như thế này",neg
145977548,10596275,1,"Kb có ai cũng từ *** mà lội vô đây mua sách hay ko nma thật sự mình thấy thất vọng về quyển sách. Đang stress muốn tìm đọc để thấy bình yên trong tâm hồn hơn xíu mà đọc xong đau đầu hơn😑. Sách kiểu rất khó hiểu như sách triết ý mn, từ đầu cho đến mục “tôi” thì như vậy, phần sau dễ hiểu hơn xíu. Chỗ nào có ví dụ với kí ức của tác giả thì đỡ hơn. Ca nhân mình thấy cuốn sách rất khô khan. Cả quyển tâm đắc đúng phần đc up lên ***😂nên mình khuyên mn nên xem xét kĩ trc khi mua về, mình cố mãi mới đọc xong luôn á, nến xem tổng thể chứ đừng chỉ vì mấy dòng mà nghĩ n hay, hoặc do mk ko bắt sóng đc vs tgia😀Ncl sách rất ko như mong đợi huhuhu, mk có chụp 1 trong rất nhiều đoạn khó hiểu :v
1* là cho nd sách nhé còn hình thức ok mn ạ!",neg
145977548,17243616,1,"Mình rất thất vọng về nhà sách, mình đặt sách trên tiki là vì chất lượng tốt, nhưng hôm nay mình đặt 4 cuốn thì hết 2 cuốn bị lỗi, sách bị dơ và bị nhăn như thế. Mong là tiki sẽ khắc phục tình trạng hàng như thế này, mình cảm ơn",neg
145977548,417604,1,"Mình đã đọc qua khá nhiều sách nhưng đây là quyển sách đầu tiên mình đọc từ đầu tới cuối gần như là ko hiểu gì cả, ngôn ngữ rất cao siêu và khó hiểu, nội dung thì vô cùng triết học, mình đã cố gắng đọc hết nó nhưng chẳng hiểu gì hết, nó ko đọng lại trong đầu mình dc chỗ nào cả vì mình có hiểu đâu mà nhớ, nếu như dc chọn lại thì mình sẽ ko bao giờ mua nó. Đấy là ý kiến cá nhân của mình, mình ko dám khuyên bạn đừng mua vì có thể bạn sẽ hiểu và thấy nó hay cho nên hãy xem đây là lời tham khảm phiến diện và chủ quan của mình nhé.",neu
145977548,28849268,1,Lan man vô định ndung k rõ ràng đọc xong mình chả hiểu mình đang đọc gì,neg
145977548,18919084,1,"Sách chỉ đuoejc để trong hộp giấy chứ không hề được bao bọc gì cả, cảm giác cầm đầu tay là biết chắc chắn sách cũ 100%, rất rất rất tệ. Mọi người nên cân nhắc khi mua.",neg
145977548,22584971,1,"Sách vừa mới mở hộp ra đã thấy bị quăn như thể bị ngấm nước, vẫn đọc được nhưng trông rất xấu",neg
145977548,28875776,1,"Sách bị móp:) _x000D_
Đóng gói thực sự rất tệ",neg
145977548,25571180,1,"quá mịt mỏi, sách như này liệu có còn niềm zui hem 😔",neg
145977548,6186812,1,"Thấy bìa sách đẹp mua về đọc xem sao. Nội dung chán thật, nhạt nhẽo",neg
145977548,27465015,1,Chưa nhận được hàng nhưng hệ thống tự cập nhật đã nhận được,neg
162844699,22637059,1,"sách không bọc j cả, làm ướt cả 1 góc sách , nhìn cũ sao á, quá thất vọng luôn. trên đó ghi là có bọc . vậy mà giao không bọc làm ướt hết sách",neg
162844699,1606440,1,"Mình kỹ tính nên Muốn sách đẹp nên đã dùng bookcare… mà mở ra bên trong buồn thực sự… nhăn - rách - dơ.
Sách hay-dịch vụ tệ ảnh hưởng tới sách",neg
162844699,12569860,1,Dưới 20 tuổi nên mua còn trên thì mình nghĩ k cần thiết,neu
162205263,27164834,1,truyện khi gửi đến mình .Đến khi bóc truyện thì truyện có nhiều viết bị hóp vô trong mình thật sự không quá hài lòng về vấn đề này vì mình là 1 ng giữ truyện rất tốt,neg
162205263,7191210,1,"NXB đóng seal vô cùng thiếu chuyên nghiệp. Móc khoá như thế này mà có thể bọc chung seal mới sách được mới hay, làm hằn hết sách, bọc kiểu này không phải do Tiki đóng gói ẩu nữa mà gần như rất khó tránh khỏi hằn bìa dù có bọc chống sốc hay không. Trong khi đã có kinh nghiệm tặng móc khoá ở các cuốn trước nhưng vẫn để xảy ra tình trạng này. 0* cho NXB/CTPH
Không đáng nhận được 1*",neg
162205263,16904799,1,"giao hàng nhanh nhưng sách bị bong tróc, thất vọng thật sự",neg
162205263,602882,1,"Sách giao bị rách như hình, không biết tiki có chế độ đổi sách bị hỏng do vận chuyển không?",neg
162205263,22700568,1,"Sách phần bìa bị va đập mạnh nên hỏng quá, nhìn xót thật. Phần bookcare thì ko vừa khổ sách, lần này tiki làm ăn quá chán",neg
162205263,18713098,1,Vừa bóc ra đã thấy sách bị lỗi trang,neg
162205263,11107164,1,Truyện không hề có bookmarj như mô tả sp,neg
